Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U
Burnley,1,3,Aston Villa,2023-08-27,3.4,3.4,2.15,1.86,2.04
Newcastle Utd,1,2,Liverpool,2023-08-27,2.2,3.75,3.0,1.5,2.63
Luton Town,1,2,West Ham,2023-09-01,4.75,3.8,1.73,1.87,2.03
Sheffield Utd,2,2,Everton,2023-09-02,2.9,3.25,2.5,2.2,1.67
Chelsea,0,1,Nott'ham Forest,2023-09-02,1.4,4.5,8.5,1.62,2.3
Manchester City,5,1,Fulham,2023-09-02,1.17,8.0,15.0,1.4,3.0
Brentford,2,2,Bournemouth,2023-09-02,1.73,3.8,4.75,1.73,2.1
Burnley,2,5,Tottenham,2023-09-02,3.6,4.0,1.85,1.62,2.3
Brighton,3,1,Newcastle Utd,2023-09-02,2.5,3.8,2.55,1.5,2.63
Liverpool,3,0,Aston Villa,2023-09-03,1.65,4.5,4.5,1.4,3.0
Crystal Palace,3,2,Wolves,2023-09-03,1.91,3.3,4.33,2.2,1.67
Arsenal,3,1,Manchester Utd,2023-09-03,1.75,3.8,4.5,1.57,2.38
Wolves,1,3,Liverpool,2023-09-16,6.0,5.0,1.45,1.44,2.75
Fulham,1,0,Luton Town,2023-09-16,1.67,3.75,5.5,1.89,2.01
West Ham,1,3,Manchester City,2023-09-16,7.0,4.5,1.45,1.62,2.3
Aston Villa,3,1,Crystal Palace,2023-09-16,1.91,3.6,4.0,1.89,2.01
Manchester Utd,1,3,Brighton,2023-09-16,2.15,4.0,2.88,1.44,2.75
Tottenham,2,1,Sheffield Utd,2023-09-16,1.29,5.5,11.0,1.5,2.63
Newcastle Utd,1,0,Brentford,2023-09-16,1.53,4.2,6.0,1.67,2.2
Bournemouth,0,0,Chelsea,2023-09-17,4.33,3.75,1.8,1.67,2.2
Everton,0,1,Arsenal,2023-09-17,6.0,4.5,1.5,1.67,2.2
Nott'ham Forest,1,1,Burnley,2023-09-18,2.2,3.5,3.25,1.92,1.98
Manchester City,2,0,Nott'ham Forest,2023-09-23,1.14,8.5,15.0,1.4,3.0
Luton Town,1,1,Wolves,2023-09-23,3.25,3.4,2.2,2.02,1.88
Crystal Palace,0,0,Fulham,2023-09-23,1.91,3.4,4.2,2.0,1.8
Brentford,1,3,Everton,2023-09-23,1.8,3.8,4.2,1.95,1.95
Burnley,0,1,Manchester Utd,2023-09-23,4.2,4.2,1.73,1.62,2.3
Arsenal,2,2,Tottenham,2023-09-24,1.67,4.33,4.33,1.5,2.63
Brighton,3,1,Bournemouth,2023-09-24,1.36,5.25,7.5,1.36,3.2
Chelsea,0,1,Aston Villa,2023-09-24,1.91,3.75,3.8,1.73,2.1
Liverpool,3,1,West Ham,2023-09-24,1.4,5.0,7.0,1.4,3.0
Sheffield Utd,0,8,Newcastle Utd,2023-09-24,7.0,4.75,1.44,1.67,2.2
Aston Villa,6,1,Brighton,2023-09-30,2.55,3.75,2.55,1.44,2.75
Wolves,2,1,Manchester City,2023-09-30,8.0,5.75,1.33,1.53,2.5
Bournemouth,0,4,Arsenal,2023-09-30,5.5,4.5,1.53,1.53,2.5
Everton,1,2,Luton Town,2023-09-30,1.57,3.8,6.5,2.05,1.85
Newcastle Utd,2,0,Burnley,2023-09-30,1.3,5.75,9.0,1.53,2.5
West Ham,2,0,Sheffield Utd,2023-09-30,1.45,4.5,7.0,1.67,2.2
Manchester Utd,0,1,Crystal Palace,2023-09-30,1.55,4.2,5.75,1.8,2.0
Tottenham,2,1,Liverpool,2023-09-30,2.9,4.0,2.15,1.36,3.2
Nott'ham Forest,1,1,Brentford,2023-10-01,2.75,3.1,2.7,2.1,1.73
Fulham,0,2,Chelsea,2023-10-02,3.6,3.5,2.05,1.98,1.92
Luton Town,1,2,Burnley,2023-10-03,2.9,3.0,2.63,2.2,1.65
Luton Town,0,1,Tottenham,2023-10-07,6.0,4.75,1.45,1.53,2.4
Everton,3,0,Bournemouth,2023-10-07,1.91,3.6,3.8,1.85,2.05
Manchester Utd,2,1,Brentford,2023-10-07,1.67,4.2,4.75,1.65,2.2
Burnley,1,4,Chelsea,2023-10-07,4.5,3.8,1.73,1.85,2.05
Fulham,3,1,Sheffield Utd,2023-10-07,1.62,3.8,6.0,1.96,1.94
Crystal Palace,0,0,Nott'ham Forest,2023-10-07,2.2,3.1,3.6,2.25,1.62
West Ham,2,2,Newcastle Utd,2023-10-08,3.2,3.75,2.1,1.7,2.1
Wolves,1,1,Aston Villa,2023-10-08,3.5,3.4,2.1,1.75,2.05
Brighton,2,2,Liverpool,2023-10-08,3.0,3.8,2.2,1.36,3.1
Arsenal,1,0,Manchester City,2023-10-08,2.9,3.3,2.4,1.75,2.05
Liverpool,2,0,Everton,2023-10-21,1.33,5.75,7.5,1.4,2.88
Bournemouth,1,2,Wolves,2023-10-21,2.38,3.4,3.0,1.85,2.05
Newcastle Utd,4,0,Crystal Palace,2023-10-21,1.45,4.5,7.0,1.85,2.05
Brentford,3,0,Burnley,2023-10-21,1.83,3.75,4.2,1.95,1.95
Manchester City,2,1,Brighton,2023-10-21,1.4,5.25,6.5,1.36,3.1
Nott'ham Forest,2,2,Luton Town,2023-10-21,1.67,3.75,5.5,2.08,1.82
Chelsea,2,2,Arsenal,2023-10-21,3.2,3.4,2.25,1.98,1.92
Sheffield Utd,1,2,Manchester Utd,2023-10-21,6.5,5.25,1.4,1.53,2.4
Aston Villa,4,1,West Ham,2023-10-22,1.85,3.6,4.0,1.57,2.35
Tottenham,2,0,Fulham,2023-10-23,1.5,4.5,6.0,1.5,2.5
Crystal Palace,1,2,Tottenham,2023-10-27,4.5,3.75,1.75,1.94,1.96
Chelsea,0,2,Brentford,2023-10-28,1.65,4.0,5.25,1.8,2.0
Bournemouth,2,1,Burnley,2023-10-28,2.15,3.5,3.3,1.75,2.05
Arsenal,5,0,Sheffield Utd,2023-10-28,1.13,8.5,19.0,1.36,3.1
Wolves,2,2,Newcastle Utd,2023-10-28,4.2,4.0,1.75,1.75,2.05
West Ham,0,1,Everton,2023-10-29,2.15,3.5,3.3,1.73,2.08
Liverpool,3,0,Nott'ham Forest,2023-10-29,1.29,5.75,11.0,1.4,2.88
Brighton,1,1,Fulham,2023-10-29,1.55,4.2,5.5,1.5,2.5
Aston Villa,3,1,Luton Town,2023-10-29,1.25,6.5,9.5,1.48,2.6
Manchester Utd,0,3,Manchester City,2023-10-29,5.0,3.8,1.67,1.7,2.1
Fulham,0,1,Manchester Utd,2023-11-04,3.2,3.6,2.2,1.75,2.05
Brentford,3,2,West Ham,2023-11-04,2.05,3.6,3.5,1.73,2.08
Everton,1,1,Brighton,2023-11-04,3.1,3.6,2.2,1.57,2.35
Burnley,0,2,Crystal Palace,2023-11-04,2.75,3.25,2.6,2.2,1.65
Manchester City,6,1,Bournemouth,2023-11-04,1.1,11.0,19.0,1.29,3.6
Sheffield Utd,2,1,Wolves,2023-11-04,3.8,3.5,2.0,1.91,1.99
Newcastle Utd,1,0,Arsenal,2023-11-04,2.8,3.2,2.6,1.95,1.95
Nott'ham Forest,2,0,Aston Villa,2023-11-05,4.2,3.75,1.85,1.73,2.08
Luton Town,1,1,Liverpool,2023-11-05,12.0,6.5,1.22,1.36,3.1
Tottenham,1,4,Chelsea,2023-11-06,2.0,3.75,3.5,1.7,2.1
Wolves,2,1,Tottenham,2023-11-11,3.1,3.75,2.2,1.62,2.25
Arsenal,3,1,Burnley,2023-11-11,1.18,7.0,17.0,1.48,2.6
Manchester Utd,1,0,Luton Town,2023-11-11,1.33,5.25,9.5,1.53,2.4
Crystal Palace,2,3,Everton,2023-11-11,2.45,3.2,3.0,2.25,1.62
Bournemouth,2,0,Newcastle Utd,2023-11-11,4.75,4.0,1.73,1.7,2.1
West Ham,3,2,Nott'ham Forest,2023-11-12,1.85,3.6,4.0,1.75,2.05
Liverpool,3,0,Brentford,2023-11-12,1.4,5.0,6.5,1.44,2.7
Aston Villa,3,1,Fulham,2023-11-12,1.57,4.2,5.5,1.7,2.1
Brighton,1,1,Sheffield Utd,2023-11-12,1.25,5.75,13.0,1.4,2.88
Chelsea,4,4,Manchester City,2023-11-12,5.0,3.7,1.73,1.88,2.02
Manchester City,1,1,Liverpool,2023-11-25,1.73,4.2,4.2,1.48,2.6
Burnley,1,2,West Ham,2023-11-25,3.4,3.5,2.05,1.75,2.05
Nott'ham Forest,2,3,Brighton,2023-11-25,3.2,3.6,2.15,1.73,2.08
Sheffield Utd,1,3,Bournemouth,2023-11-25,3.2,3.5,2.2,1.85,2.05
Newcastle Utd,4,1,Chelsea,2023-11-25,2.55,3.5,2.63,1.86,2.04
Luton Town,2,1,Crystal Palace,2023-11-25,3.6,3.3,2.1,2.15,1.67
Brentford,0,1,Arsenal,2023-11-25,4.5,3.75,1.75,1.9,2.0
Tottenham,1,2,Aston Villa,2023-11-26,2.3,3.8,2.8,1.5,2.5
Everton,0,3,Manchester Utd,2023-11-26,2.7,3.4,2.55,1.85,2.05
Fulham,3,2,Wolves,2023-11-27,2.38,3.3,3.0,2.08,1.73
Brentford,3,1,Luton Town,2023-12-02,1.45,4.5,6.5,1.7,2.1
Arsenal,2,1,Wolves,2023-12-02,1.25,5.5,12.0,1.65,2.2
Burnley,5,0,Sheffield Utd,2023-12-02,1.8,3.6,4.5,2.06,1.84
Nott'ham Forest,0,1,Everton,2023-12-02,2.75,3.25,2.6,2.05,1.75
Newcastle Utd,1,0,Manchester Utd,2023-12-02,1.91,3.75,3.8,1.67,2.15
Bournemouth,2,2,Aston Villa,2023-12-03,3.4,4.0,1.95,1.53,2.4
Liverpool,4,3,Fulham,2023-12-03,1.25,6.5,9.0,1.4,2.88
Chelsea,3,2,Brighton,2023-12-03,1.73,4.2,4.2,1.53,2.4
West Ham,1,1,Crystal Palace,2023-12-03,2.0,3.5,3.8,2.04,1.86
Manchester City,3,3,Tottenham,2023-12-03,1.29,6.0,9.0,1.36,3.1
Wolves,1,0,Burnley,2023-12-05,1.85,3.6,4.2,2.05,1.85
Luton Town,3,4,Arsenal,2023-12-05,17.0,7.0,1.18,1.65,2.2
Sheffield Utd,0,2,Liverpool,2023-12-06,12.0,7.5,1.2,1.33,3.4
Crystal Palace,0,2,Bournemouth,2023-12-06,2.25,3.5,3.1,2.01,1.89
Brighton,2,1,Brentford,2023-12-06,1.91,3.8,3.75,1.62,2.25
Fulham,5,0,Nott'ham Forest,2023-12-06,2.0,3.4,3.75,2.06,1.84
Aston Villa,1,0,Manchester City,2023-12-06,4.75,4.2,1.7,1.53,2.4
Manchester Utd,2,1,Chelsea,2023-12-06,2.88,3.4,2.45,1.65,2.2
Everton,3,0,Newcastle Utd,2023-12-07,3.25,3.25,2.25,1.96,1.94
Tottenham,1,2,West Ham,2023-12-07,1.75,4.2,4.2,1.5,2.5
Crystal Palace,1,2,Liverpool,2023-12-09,6.0,4.5,1.5,1.65,2.2
Manchester Utd,0,3,Bournemouth,2023-12-09,1.55,4.33,5.75,1.5,2.5
Wolves,1,1,Nott'ham Forest,2023-12-09,1.85,3.6,4.33,2.06,1.84
Brighton,1,1,Burnley,2023-12-09,1.5,4.75,6.0,1.57,2.35
Sheffield Utd,1,0,Brentford,2023-12-09,4.2,3.8,1.75,1.95,1.95
Aston Villa,1,0,Arsenal,2023-12-09,3.3,3.6,2.1,1.7,2.1
Everton,2,0,Chelsea,2023-12-10,3.1,3.5,2.25,1.75,2.05
Fulham,5,0,West Ham,2023-12-10,2.38,3.5,2.9,1.9,2.0
Luton Town,1,2,Manchester City,2023-12-10,17.0,8.0,1.14,1.36,3.1
Tottenham,4,1,Newcastle Utd,2023-12-10,2.15,3.8,3.1,1.53,2.4
Nott'ham Forest,0,2,Tottenham,2023-12-15,4.2,4.2,1.73,1.62,2.25
Manchester City,2,2,Crystal Palace,2023-12-16,1.18,8.0,13.0,1.44,2.7
Chelsea,2,0,Sheffield Utd,2023-12-16,1.22,6.5,13.0,1.5,2.5
Newcastle Utd,3,0,Fulham,2023-12-16,1.8,3.8,4.0,1.7,2.1
Burnley,0,2,Everton,2023-12-16,3.6,3.4,2.1,2.05,1.75
Brentford,1,2,Aston Villa,2023-12-17,3.2,3.75,2.1,1.7,2.1
West Ham,3,0,Wolves,2023-12-17,2.15,3.5,3.3,1.95,1.95
Arsenal,2,0,Brighton,2023-12-17,1.44,5.0,6.0,1.53,2.4
Liverpool,0,0,Manchester Utd,2023-12-17,1.3,6.0,8.0,1.33,3.4
Crystal Palace,1,1,Brighton,2023-12-21,3.3,3.3,2.15,1.99,1.91
Aston Villa,1,1,Sheffield Utd,2023-12-22,1.22,6.5,12.0,1.44,2.7
West Ham,2,0,Manchester Utd,2023-12-23,2.6,3.6,2.6,1.7,2.1
Luton Town,1,0,Newcastle Utd,2023-12-23,4.75,4.2,1.65,1.75,2.05
Fulham,0,2,Burnley,2023-12-23,1.67,3.75,5.25,1.92,1.98
Tottenham,2,1,Everton,2023-12-23,1.75,4.2,4.0,1.53,2.4
Nott'ham Forest,2,3,Bournemouth,2023-12-23,2.75,3.4,2.55,1.95,1.95
Liverpool,1,1,Arsenal,2023-12-23,2.38,3.6,2.8,1.7,2.1
Wolves,2,1,Chelsea,2023-12-24,3.75,3.75,1.91,1.86,2.04
Newcastle Utd,1,3,Nott'ham Forest,2023-12-26,1.5,4.33,5.75,1.8,2.0
Bournemouth,3,0,Fulham,2023-12-26,2.15,3.6,3.2,1.73,2.08
Sheffield Utd,2,3,Luton Town,2023-12-26,2.3,3.3,3.1,2.1,1.7
Burnley,0,2,Liverpool,2023-12-26,6.5,5.25,1.4,1.44,2.7
Manchester Utd,3,2,Aston Villa,2023-12-26,2.6,3.5,2.6,1.62,2.25
Chelsea,2,1,Crystal Palace,2023-12-27,1.67,4.0,5.0,1.91,1.99
Brentford,1,4,Wolves,2023-12-27,1.95,3.5,4.2,2.03,1.87
Everton,1,3,Manchester City,2023-12-27,5.75,4.0,1.57,1.73,2.08
Brighton,4,2,Tottenham,2023-12-28,2.5,3.6,2.6,1.44,2.7
Arsenal,0,2,West Ham,2023-12-28,1.33,5.5,7.5,1.57,2.35
Luton Town,2,3,Chelsea,2023-12-30,6.5,4.2,1.5,1.65,2.2
Aston Villa,3,2,Burnley,2023-12-30,1.36,5.25,7.5,1.57,2.35
Wolves,3,0,Everton,2023-12-30,2.63,3.3,2.7,2.05,1.75
Manchester City,2,0,Sheffield Utd,2023-12-30,1.08,11.0,29.0,1.3,3.5
Crystal Palace,3,1,Brentford,2023-12-30,2.2,3.3,3.4,2.15,1.67
Nott'ham Forest,2,1,Manchester Utd,2023-12-30,3.2,3.6,2.15,1.73,2.08
Tottenham,3,1,Bournemouth,2023-12-31,1.75,4.2,4.0,1.4,2.88
Fulham,2,1,Arsenal,2023-12-31,5.25,4.5,1.55,1.73,2.08
Liverpool,4,2,Newcastle Utd,2024-01-01,1.45,4.5,7.0,1.44,2.7
West Ham,0,0,Brighton,2024-01-02,2.45,3.75,2.75,1.6,2.3
Burnley,1,1,Luton Town,2024-01-12,2.0,3.6,3.6,1.99,1.91
Chelsea,1,0,Fulham,2024-01-13,1.6,4.2,5.25,1.62,2.25
Newcastle Utd,2,3,Manchester City,2024-01-13,5.5,4.33,1.55,1.6,2.3
Everton,0,0,Aston Villa,2024-01-14,2.8,3.5,2.45,1.73,2.08
Manchester Utd,2,2,Tottenham,2024-01-14,2.2,3.75,3.0,1.48,2.6
Arsenal,5,0,Crystal Palace,2024-01-20,1.3,5.75,9.0,1.73,2.08
Brentford,3,2,Nott'ham Forest,2024-01-20,1.91,3.6,4.0,1.86,2.04
Sheffield Utd,2,2,West Ham,2024-01-21,3.4,3.3,2.2,2.05,1.75
Bournemouth,0,4,Liverpool,2024-01-21,4.2,4.5,1.7,1.44,2.7
Brighton,0,0,Wolves,2024-01-22,1.65,4.33,5.0,1.62,2.25
Nott'ham Forest,1,2,Arsenal,2024-01-30,7.5,5.0,1.4,1.62,2.25
Fulham,0,0,Everton,2024-01-30,2.45,3.2,3.0,2.05,1.75
Luton Town,4,0,Brighton,2024-01-30,4.2,4.2,1.75,1.65,2.2
Crystal Palace,3,2,Sheffield Utd,2024-01-30,1.62,3.6,6.5,2.08,1.73
Aston Villa,1,3,Newcastle Utd,2024-01-30,1.85,4.0,3.8,1.5,2.5
Tottenham,3,2,Brentford,2024-01-31,1.67,4.2,4.75,1.5,2.5
Manchester City,3,1,Burnley,2024-01-31,1.08,12.0,21.0,1.33,3.4
Liverpool,4,1,Chelsea,2024-01-31,1.57,4.33,5.25,1.44,2.7
West Ham,1,1,Bournemouth,2024-02-01,2.4,3.75,2.75,1.62,2.25
Wolves,3,4,Manchester Utd,2024-02-01,2.63,3.6,2.55,1.75,2.05
Everton,2,2,Tottenham,2024-02-03,3.0,3.6,2.25,1.62,2.25
Newcastle Utd,4,4,Luton Town,2024-02-03,1.44,4.75,6.5,1.57,2.35
Brighton,4,1,Crystal Palace,2024-02-03,1.7,4.0,4.75,1.73,2.08
Burnley,2,2,Fulham,2024-02-03,2.9,3.4,2.38,1.99,1.91
Sheffield Utd,0,5,Aston Villa,2024-02-03,5.25,4.2,1.62,1.62,2.25
Bournemouth,1,1,Nott'ham Forest,2024-02-04,1.7,4.2,4.5,1.65,2.2
Manchester Utd,3,0,West Ham,2024-02-04,1.62,4.2,5.0,1.6,2.3
Chelsea,2,4,Wolves,2024-02-04,1.62,4.0,5.5,1.7,2.1
Arsenal,3,1,Liverpool,2024-02-04,2.2,3.6,3.1,1.67,2.15
Brentford,1,3,Manchester City,2024-02-05,7.0,4.75,1.4,1.57,2.35
Manchester City,2,0,Everton,2024-02-10,1.18,8.0,13.0,1.44,2.7
Luton Town,1,3,Sheffield Utd,2024-02-10,1.75,3.75,4.75,1.85,2.05
Liverpool,3,1,Burnley,2024-02-10,1.17,8.0,17.0,1.33,3.4
Wolves,0,2,Brentford,2024-02-10,2.1,3.6,3.4,1.75,2.05
Fulham,3,1,Bournemouth,2024-02-10,2.38,3.5,2.8,1.73,2.08
Tottenham,2,1,Brighton,2024-02-10,1.8,4.2,3.8,1.4,2.88
Nott'ham Forest,2,3,Newcastle Utd,2024-02-10,3.3,3.75,2.05,1.7,2.1
West Ham,0,6,Arsenal,2024-02-11,6.0,4.33,1.53,1.67,2.15
Aston Villa,1,2,Manchester Utd,2024-02-11,2.15,3.75,3.1,1.53,2.4
Crystal Palace,1,3,Chelsea,2024-02-12,4.2,3.8,1.85,1.86,2.04
Brentford,1,4,Liverpool,2024-02-17,5.5,4.33,1.57,1.48,2.6
Newcastle Utd,2,2,Bournemouth,2024-02-17,1.83,4.2,3.75,1.48,2.6
Tottenham,1,2,Wolves,2024-02-17,1.53,4.75,5.25,1.44,2.7
Burnley,0,5,Arsenal,2024-02-17,10.0,5.75,1.29,1.57,2.35
Fulham,1,2,Aston Villa,2024-02-17,2.9,3.75,2.2,1.6,2.3
Nott'ham Forest,2,0,West Ham,2024-02-17,2.38,3.5,2.9,1.89,2.01
Manchester City,1,1,Chelsea,2024-02-17,1.33,5.5,8.0,1.44,2.7
Sheffield Utd,0,5,Brighton,2024-02-18,5.0,4.2,1.62,1.57,2.35
Luton Town,1,2,Manchester Utd,2024-02-18,4.0,4.0,1.8,1.57,2.35
Everton,1,1,Crystal Palace,2024-02-19,1.7,3.6,5.25,2.1,1.7
Manchester City,1,0,Brentford,2024-02-20,1.18,8.0,13.0,1.33,3.4
Liverpool,4,1,Luton Town,2024-02-21,1.2,7.0,13.0,1.3,3.5
Manchester Utd,1,2,Fulham,2024-02-24,1.57,4.33,5.5,1.57,2.35
Crystal Palace,3,0,Burnley,2024-02-24,1.95,3.5,4.0,2.1,1.7
Brighton,1,1,Everton,2024-02-24,1.83,3.8,4.2,1.65,2.2
Aston Villa,4,2,Nott'ham Forest,2024-02-24,1.53,4.5,5.75,1.57,2.35
Bournemouth,0,1,Manchester City,2024-02-24,7.0,5.25,1.4,1.48,2.6
Arsenal,4,1,Newcastle Utd,2024-02-24,1.36,5.25,8.0,1.48,2.6
Wolves,1,0,Sheffield Utd,2024-02-25,1.44,4.75,7.0,1.65,2.2
West Ham,4,2,Brentford,2024-02-26,2.5,3.5,2.75,1.7,2.1
Fulham,3,0,Brighton,2024-03-02,2.55,3.6,2.63,1.62,2.25
Tottenham,3,1,Crystal Palace,2024-03-02,1.5,4.33,6.5,1.53,2.4
Brentford,2,2,Chelsea,2024-03-02,3.1,3.75,2.15,1.53,2.4
Newcastle Utd,3,0,Wolves,2024-03-02,1.91,4.0,3.6,1.57,2.35
Nott'ham Forest,0,1,Liverpool,2024-03-02,6.0,4.33,1.53,1.48,2.6
Everton,1,3,West Ham,2024-03-02,2.05,3.6,3.5,1.92,1.98
Luton Town,2,3,Aston Villa,2024-03-02,4.33,4.2,1.73,1.44,2.7
Burnley,0,2,Bournemouth,2024-03-03,3.75,3.6,1.95,1.7,2.1
Manchester City,3,1,Manchester Utd,2024-03-03,1.25,5.75,11.0,1.36,3.1
Sheffield Utd,0,6,Arsenal,2024-03-04,17.0,7.0,1.18,1.4,2.88
Manchester Utd,2,0,Everton,2024-03-09,1.83,3.6,4.0,1.67,2.15
Bournemouth,2,2,Sheffield Utd,2024-03-09,1.33,5.25,8.0,1.53,2.4
Wolves,2,1,Fulham,2024-03-09,2.5,3.4,2.75,1.95,1.95
Crystal Palace,1,1,Luton Town,2024-03-09,1.75,3.8,4.2,1.75,2.05
Arsenal,2,1,Brentford,2024-03-09,1.22,7.0,11.0,1.44,2.7
Aston Villa,0,4,Tottenham,2024-03-10,2.38,4.0,2.6,1.36,3.1
West Ham,2,2,Burnley,2024-03-10,1.67,4.0,4.75,1.7,2.1
Brighton,1,0,Nott'ham Forest,2024-03-10,1.8,4.0,4.0,1.62,2.25
Liverpool,1,1,Manchester City,2024-03-10,3.0,3.75,2.2,1.5,2.5
Chelsea,3,2,Newcastle Utd,2024-03-11,1.91,4.0,3.6,1.44,2.7
Bournemouth,4,3,Luton Town,2024-03-13,1.5,4.75,5.75,1.44,2.7
Luton Town,1,1,Nott'ham Forest,2024-03-16,2.8,3.5,2.45,1.67,2.15
Burnley,2,1,Brentford,2024-03-16,3.25,3.6,2.15,1.75,2.05
Fulham,3,0,Tottenham,2024-03-16,3.5,3.8,1.95,1.48,2.6
West Ham,1,1,Aston Villa,2024-03-17,2.63,3.75,2.45,1.57,2.35
Newcastle Utd,4,3,West Ham,2024-03-30,1.83,4.2,3.8,1.5,2.5
Bournemouth,2,1,Everton,2024-03-30,2.2,3.6,3.2,1.7,2.1
Tottenham,2,1,Luton Town,2024-03-30,1.2,8.0,11.0,1.25,4.0
Nott'ham Forest,1,1,Crystal Palace,2024-03-30,2.2,3.3,3.4,2.08,1.73
Sheffield Utd,3,3,Fulham,2024-03-30,4.5,4.0,1.73,1.65,2.2
Chelsea,2,2,Burnley,2024-03-30,1.29,6.0,9.5,1.48,2.6
Aston Villa,2,0,Wolves,2024-03-30,1.6,4.33,5.0,1.57,2.35
Brentford,1,1,Manchester Utd,2024-03-30,3.0,3.8,2.2,1.53,2.4
Liverpool,2,1,Brighton,2024-03-31,1.36,5.5,7.5,1.36,3.1
Manchester City,0,0,Arsenal,2024-03-31,1.91,3.8,3.8,1.7,2.1
Newcastle Utd,1,1,Everton,2024-04-02,2.0,3.75,3.5,1.67,2.2
Nott'ham Forest,3,1,Fulham,2024-04-02,2.7,3.4,2.63,1.8,2.0
Bournemouth,1,0,Crystal Palace,2024-04-02,1.95,3.8,3.6,1.73,2.1
Burnley,1,1,Wolves,2024-04-02,2.45,3.6,2.75,1.84,2.06
West Ham,1,1,Tottenham,2024-04-02,3.3,4.2,1.95,1.33,3.4
Arsenal,2,0,Luton Town,2024-04-03,1.1,10.0,19.0,1.25,4.0
Brentford,0,0,Brighton,2024-04-03,2.38,3.8,2.75,1.57,2.38
Manchester City,4,1,Aston Villa,2024-04-03,1.3,6.0,8.0,1.4,3.0
Liverpool,3,1,Sheffield Utd,2024-04-04,1.09,12.0,21.0,1.2,4.5
Chelsea,4,3,Manchester Utd,2024-04-04,2.0,4.0,3.4,1.4,3.0
Crystal Palace,2,4,Manchester City,2024-04-06,9.5,5.25,1.33,1.67,2.2
Luton Town,2,1,Bournemouth,2024-04-06,3.75,3.8,1.91,1.5,2.63
Wolves,1,2,West Ham,2024-04-06,2.5,3.6,2.7,1.8,2.0
Fulham,0,1,Newcastle Utd,2024-04-06,2.38,3.8,2.8,1.5,2.63
Everton,1,0,Burnley,2024-04-06,1.65,4.0,5.25,1.8,2.0
Aston Villa,3,3,Brentford,2024-04-06,1.7,4.0,4.75,1.53,2.5
Brighton,0,3,Arsenal,2024-04-06,5.0,4.33,1.62,1.62,2.3
Manchester Utd,2,2,Liverpool,2024-04-07,4.75,4.5,1.6,1.33,3.4
Sheffield Utd,2,2,Chelsea,2024-04-07,7.0,5.25,1.4,1.4,3.0
Tottenham,3,1,Nott'ham Forest,2024-04-07,1.4,5.5,6.5,1.4,3.0
Newcastle Utd,4,0,Tottenham,2024-04-13,2.7,4.0,2.3,1.36,3.2
Manchester City,5,1,Luton Town,2024-04-13,1.1,11.0,19.0,1.29,3.75
Nott'ham Forest,2,2,Wolves,2024-04-13,2.1,3.4,3.5,1.86,2.04
Brentford,2,0,Sheffield Utd,2024-04-13,1.44,5.0,6.5,1.53,2.5
