Home,Hscore,Ascore,Away,date
Burnley,0,3,Manchester City,2023-08-11
Arsenal,2,1,Nott'ham Forest,2023-08-12
Everton,0,1,Fulham,2023-08-12
Sheffield Utd,0,1,Crystal Palace,2023-08-12
Brighton,4,1,Luton Town,2023-08-12
Bournemouth,1,1,West Ham,2023-08-12
Newcastle Utd,5,1,Aston Villa,2023-08-12
Brentford,2,2,Tottenham,2023-08-13
Chelsea,1,1,Liverpool,2023-08-13
Manchester Utd,1,0,Wolves,2023-08-14
Nott'ham Forest,2,1,Sheffield Utd,2023-08-18
Fulham,0,3,Brentford,2023-08-19
Liverpool,3,1,Bournemouth,2023-08-19
Wolves,1,4,Brighton,2023-08-19
Tottenham,2,0,Manchester Utd,2023-08-19
Manchester City,1,0,Newcastle Utd,2023-08-19
Aston Villa,4,0,Everton,2023-08-20
West Ham,3,1,Chelsea,2023-08-20
Crystal Palace,0,1,Arsenal,2023-08-21
Chelsea,3,0,Luton Town,2023-08-25
Bournemouth,0,2,Tottenham,2023-08-26
Everton,0,1,Wolves,2023-08-26
Brentford,1,1,Crystal Palace,2023-08-26
Manchester Utd,3,2,Nott'ham Forest,2023-08-26
Arsenal,2,2,Fulham,2023-08-26
Brighton,1,3,West Ham,2023-08-26
Sheffield Utd,1,2,Manchester City,2023-08-27
Burnley,1,3,Aston Villa,2023-08-27
Newcastle Utd,1,2,Liverpool,2023-08-27
Luton Town,1,2,West Ham,2023-09-01
Sheffield Utd,2,2,Everton,2023-09-02
Chelsea,0,1,Nott'ham Forest,2023-09-02
Manchester City,5,1,Fulham,2023-09-02
Brentford,2,2,Bournemouth,2023-09-02
Burnley,2,5,Tottenham,2023-09-02
Brighton,3,1,Newcastle Utd,2023-09-02
Liverpool,3,0,Aston Villa,2023-09-03
Crystal Palace,3,2,Wolves,2023-09-03
Arsenal,3,1,Manchester Utd,2023-09-03
Wolves,1,3,Liverpool,2023-09-16
Fulham,1,0,Luton Town,2023-09-16
West Ham,1,3,Manchester City,2023-09-16
Aston Villa,3,1,Crystal Palace,2023-09-16
Manchester Utd,1,3,Brighton,2023-09-16
Tottenham,2,1,Sheffield Utd,2023-09-16
Newcastle Utd,1,0,Brentford,2023-09-16
Bournemouth,0,0,Chelsea,2023-09-17
Everton,0,1,Arsenal,2023-09-17
Nott'ham Forest,1,1,Burnley,2023-09-18
Manchester City,2,0,Nott'ham Forest,2023-09-23
Luton Town,1,1,Wolves,2023-09-23
Crystal Palace,0,0,Fulham,2023-09-23
Brentford,1,3,Everton,2023-09-23
Burnley,0,1,Manchester Utd,2023-09-23
Arsenal,2,2,Tottenham,2023-09-24
Brighton,3,1,Bournemouth,2023-09-24
Chelsea,0,1,Aston Villa,2023-09-24
Liverpool,3,1,West Ham,2023-09-24
Sheffield Utd,0,8,Newcastle Utd,2023-09-24
Aston Villa,6,1,Brighton,2023-09-30
Wolves,2,1,Manchester City,2023-09-30
Bournemouth,0,4,Arsenal,2023-09-30
Everton,1,2,Luton Town,2023-09-30
Newcastle Utd,2,0,Burnley,2023-09-30
West Ham,2,0,Sheffield Utd,2023-09-30
Manchester Utd,0,1,Crystal Palace,2023-09-30
Tottenham,2,1,Liverpool,2023-09-30
Nott'ham Forest,1,1,Brentford,2023-10-01
Fulham,0,2,Chelsea,2023-10-02
Luton Town,1,2,Burnley,2023-10-03
Luton Town,0,1,Tottenham,2023-10-07
Everton,3,0,Bournemouth,2023-10-07
Manchester Utd,2,1,Brentford,2023-10-07
Burnley,1,4,Chelsea,2023-10-07
Fulham,3,1,Sheffield Utd,2023-10-07
Crystal Palace,0,0,Nott'ham Forest,2023-10-07
West Ham,2,2,Newcastle Utd,2023-10-08
Wolves,1,1,Aston Villa,2023-10-08
Brighton,2,2,Liverpool,2023-10-08
Arsenal,1,0,Manchester City,2023-10-08
Liverpool,2,0,Everton,2023-10-21
Bournemouth,1,2,Wolves,2023-10-21
Newcastle Utd,4,0,Crystal Palace,2023-10-21
Brentford,3,0,Burnley,2023-10-21
Manchester City,2,1,Brighton,2023-10-21
Nott'ham Forest,2,2,Luton Town,2023-10-21
Chelsea,2,2,Arsenal,2023-10-21
Sheffield Utd,1,2,Manchester Utd,2023-10-21
Aston Villa,4,1,West Ham,2023-10-22
Tottenham,2,0,Fulham,2023-10-23
Crystal Palace,1,2,Tottenham,2023-10-27
Chelsea,0,2,Brentford,2023-10-28
Bournemouth,2,1,Burnley,2023-10-28
Arsenal,5,0,Sheffield Utd,2023-10-28
Wolves,2,2,Newcastle Utd,2023-10-28
West Ham,0,1,Everton,2023-10-29
Liverpool,3,0,Nott'ham Forest,2023-10-29
Brighton,1,1,Fulham,2023-10-29
Aston Villa,3,1,Luton Town,2023-10-29
Manchester Utd,0,3,Manchester City,2023-10-29
Fulham,0,1,Manchester Utd,2023-11-04
Brentford,3,2,West Ham,2023-11-04
Everton,1,1,Brighton,2023-11-04
Burnley,0,2,Crystal Palace,2023-11-04
Manchester City,6,1,Bournemouth,2023-11-04
Sheffield Utd,2,1,Wolves,2023-11-04
Newcastle Utd,1,0,Arsenal,2023-11-04
Nott'ham Forest,2,0,Aston Villa,2023-11-05
Luton Town,1,1,Liverpool,2023-11-05
Tottenham,1,4,Chelsea,2023-11-06
Wolves,2,1,Tottenham,2023-11-11
Arsenal,3,1,Burnley,2023-11-11
Manchester Utd,1,0,Luton Town,2023-11-11
Crystal Palace,2,3,Everton,2023-11-11
Bournemouth,2,0,Newcastle Utd,2023-11-11
West Ham,3,2,Nott'ham Forest,2023-11-12
Liverpool,3,0,Brentford,2023-11-12
Aston Villa,3,1,Fulham,2023-11-12
Brighton,1,1,Sheffield Utd,2023-11-12
Chelsea,4,4,Manchester City,2023-11-12
Manchester City,1,1,Liverpool,2023-11-25
Burnley,1,2,West Ham,2023-11-25
Nott'ham Forest,2,3,Brighton,2023-11-25
Sheffield Utd,1,3,Bournemouth,2023-11-25
Newcastle Utd,4,1,Chelsea,2023-11-25
Luton Town,2,1,Crystal Palace,2023-11-25
Brentford,0,1,Arsenal,2023-11-25
Tottenham,1,2,Aston Villa,2023-11-26
Everton,0,3,Manchester Utd,2023-11-26
Fulham,3,2,Wolves,2023-11-27
Brentford,3,1,Luton Town,2023-12-02
Arsenal,2,1,Wolves,2023-12-02
Burnley,5,0,Sheffield Utd,2023-12-02
Nott'ham Forest,0,1,Everton,2023-12-02
