Home,Hscore,Ascore,Away,date
Crystal Palace,0,2,Arsenal,2022-08-05
Fulham,2,2,Liverpool,2022-08-06
Tottenham,4,1,Southampton,2022-08-06
Newcastle Utd,2,0,Nott'ham Forest,2022-08-06
Leeds United,2,1,Wolves,2022-08-06
Bournemouth,2,0,Aston Villa,2022-08-06
Everton,0,1,Chelsea,2022-08-06
Leicester City,2,2,Brentford,2022-08-07
Manchester Utd,1,2,Brighton,2022-08-07
West Ham,0,2,Manchester City,2022-08-07
Aston Villa,2,1,Everton,2022-08-13
Manchester City,4,0,Bournemouth,2022-08-13
Southampton,2,2,Leeds United,2022-08-13
Wolves,0,0,Fulham,2022-08-13
Arsenal,4,2,Leicester City,2022-08-13
Brighton,0,0,Newcastle Utd,2022-08-13
Brentford,4,0,Manchester Utd,2022-08-13
Nott'ham Forest,1,0,West Ham,2022-08-14
Chelsea,2,2,Tottenham,2022-08-14
Liverpool,1,1,Crystal Palace,2022-08-15
Tottenham,1,0,Wolves,2022-08-20
Leicester City,1,2,Southampton,2022-08-20
Everton,1,1,Nott'ham Forest,2022-08-20
Crystal Palace,3,1,Aston Villa,2022-08-20
Fulham,3,2,Brentford,2022-08-20
Bournemouth,0,3,Arsenal,2022-08-20
Leeds United,3,0,Chelsea,2022-08-21
West Ham,0,2,Brighton,2022-08-21
Newcastle Utd,3,3,Manchester City,2022-08-21
Manchester Utd,2,1,Liverpool,2022-08-22
Southampton,0,1,Manchester Utd,2022-08-27
Manchester City,4,2,Crystal Palace,2022-08-27
Brighton,1,0,Leeds United,2022-08-27
Chelsea,2,1,Leicester City,2022-08-27
Brentford,1,1,Everton,2022-08-27
Liverpool,9,0,Bournemouth,2022-08-27
Arsenal,2,1,Fulham,2022-08-27
Wolves,1,1,Newcastle Utd,2022-08-28
Aston Villa,0,1,West Ham,2022-08-28
Nott'ham Forest,0,2,Tottenham,2022-08-28
Fulham,2,1,Brighton,2022-08-30
Crystal Palace,1,1,Brentford,2022-08-30
Southampton,2,1,Chelsea,2022-08-30
Leeds United,1,1,Everton,2022-08-30
Bournemouth,0,0,Wolves,2022-08-31
Manchester City,6,0,Nott'ham Forest,2022-08-31
Arsenal,2,1,Aston Villa,2022-08-31
West Ham,1,1,Tottenham,2022-08-31
Liverpool,2,1,Newcastle Utd,2022-08-31
Leicester City,0,1,Manchester Utd,2022-09-01
Everton,0,0,Liverpool,2022-09-03
Nott'ham Forest,2,3,Bournemouth,2022-09-03
Wolves,1,0,Southampton,2022-09-03
Newcastle Utd,0,0,Crystal Palace,2022-09-03
Brentford,5,2,Leeds United,2022-09-03
Tottenham,2,1,Fulham,2022-09-03
Chelsea,2,1,West Ham,2022-09-03
Aston Villa,1,1,Manchester City,2022-09-03
Brighton,5,2,Leicester City,2022-09-04
Manchester Utd,3,1,Arsenal,2022-09-04
Aston Villa,1,0,Southampton,2022-09-16
Nott'ham Forest,2,3,Fulham,2022-09-16
Wolves,0,3,Manchester City,2022-09-17
Newcastle Utd,1,1,Bournemouth,2022-09-17
Tottenham,6,2,Leicester City,2022-09-17
Brentford,0,3,Arsenal,2022-09-18
Everton,1,0,West Ham,2022-09-18
Arsenal,3,1,Tottenham,2022-10-01
Southampton,1,2,Everton,2022-10-01
Crystal Palace,1,2,Chelsea,2022-10-01
Liverpool,3,3,Brighton,2022-10-01
Fulham,1,4,Newcastle Utd,2022-10-01
Bournemouth,0,0,Brentford,2022-10-01
West Ham,2,0,Wolves,2022-10-01
Manchester City,6,3,Manchester Utd,2022-10-02
Leeds United,0,0,Aston Villa,2022-10-02
Leicester City,4,0,Nott'ham Forest,2022-10-03
Bournemouth,2,1,Leicester City,2022-10-08
Newcastle Utd,5,1,Brentford,2022-10-08
Manchester City,4,0,Southampton,2022-10-08
Chelsea,3,0,Wolves,2022-10-08
Brighton,0,1,Tottenham,2022-10-08
West Ham,3,1,Fulham,2022-10-09
Crystal Palace,2,1,Leeds United,2022-10-09
Arsenal,3,2,Liverpool,2022-10-09
Everton,1,2,Manchester Utd,2022-10-09
Nott'ham Forest,1,1,Aston Villa,2022-10-10
Brentford,2,0,Brighton,2022-10-14
Leicester City,0,0,Crystal Palace,2022-10-15
Fulham,2,2,Bournemouth,2022-10-15
Wolves,1,0,Nott'ham Forest,2022-10-15
Tottenham,2,0,Everton,2022-10-15
Southampton,1,1,West Ham,2022-10-16
Aston Villa,0,2,Chelsea,2022-10-16
Leeds United,0,1,Arsenal,2022-10-16
Manchester Utd,0,0,Newcastle Utd,2022-10-16
Liverpool,1,0,Manchester City,2022-10-16
Brighton,0,0,Nott'ham Forest,2022-10-18
Crystal Palace,2,1,Wolves,2022-10-18
Bournemouth,0,1,Southampton,2022-10-19
Brentford,0,0,Chelsea,2022-10-19
Liverpool,1,0,West Ham,2022-10-19
Newcastle Utd,1,0,Everton,2022-10-19
Manchester Utd,2,0,Tottenham,2022-10-19
Fulham,3,0,Aston Villa,2022-10-20
Leicester City,2,0,Leeds United,2022-10-20
Nott'ham Forest,1,0,Liverpool,2022-10-22
Everton,3,0,Crystal Palace,2022-10-22
Manchester City,3,1,Brighton,2022-10-22
Chelsea,1,1,Manchester Utd,2022-10-22
Aston Villa,4,0,Brentford,2022-10-23
Wolves,0,4,Leicester City,2022-10-23
Leeds United,2,3,Fulham,2022-10-23
Southampton,1,1,Arsenal,2022-10-23
Tottenham,1,2,Newcastle Utd,2022-10-23
West Ham,2,0,Bournemouth,2022-10-24
Leicester City,0,1,Manchester City,2022-10-29
Brentford,1,1,Wolves,2022-10-29
Crystal Palace,1,0,Southampton,2022-10-29
Newcastle Utd,4,0,Aston Villa,2022-10-29
Brighton,4,1,Chelsea,2022-10-29
Bournemouth,2,3,Tottenham,2022-10-29
Fulham,0,0,Everton,2022-10-29
Liverpool,1,2,Leeds United,2022-10-29
Arsenal,5,0,Nott'ham Forest,2022-10-30
Manchester Utd,1,0,West Ham,2022-10-30
Nott'ham Forest,2,2,Brentford,2022-11-05
Leeds United,4,3,Bournemouth,2022-11-05
Manchester City,2,1,Fulham,2022-11-05
Wolves,2,3,Brighton,2022-11-05
Everton,0,2,Leicester City,2022-11-05
Chelsea,0,1,Arsenal,2022-11-06
West Ham,1,2,Crystal Palace,2022-11-06
Southampton,1,4,Newcastle Utd,2022-11-06
Aston Villa,3,1,Manchester Utd,2022-11-06
